cluster_id,size,auto_label,top_terms,month_distribution
1,888,"00, 10 days, 000 000, 000 word, 10 15","00, 10 days, 000 000, 000 word, 10 15, 03, 14 15, 110, 102, 1152, 18, 07, 1093691, 14 64, 12 month","{'2025-11': 184, '2025-05': 162, '2025-12': 141, '2025-07': 111, '2025-08': 79, '2025-06': 72, '2025-09': 71, '2025-10': 66, '2023-02': 1, '2025-02': 1}"
2,391,"00, 10, 10 12, 10 10, 1042","00, 10, 10 12, 10 10, 1042, 116, 09, 12 month, 120, 1078410, 10 following, 100, 10 9_layer4_topic_drift, 100 authors, 2026","{'2025-05': 84, '2025-11': 54, '2025-09': 53, '2025-07': 49, '2025-10': 43, '2025-08': 40, '2025-06': 36, '2025-12': 32}"
8,364,"00, 01, 07, 10 000, 05","00, 01, 07, 10 000, 05, 100 samples, 10 9_layer4_topic_drift, 10 days, 10 20, 100 participants, 110, 12 15, 1042, 177, 12 13","{'2025-09': 98, '2025-10': 54, '2025-05': 50, '2025-08': 40, '2025-07': 35, '2025-11': 35, '2025-06': 28, '2025-12': 24}"
44,332,"00, 04, 05, 000 000, 01","00, 04, 05, 000 000, 01, 10, 000 words, 10 times, 10 20, 10 participants, 02, 03, 1093691, 100 samples, 100","{'2025-10': 71, '2025-05': 53, '2025-11': 50, '2025-07': 47, '2025-08': 43, '2025-09': 27, '2025-06': 21, '2025-12': 20}"
31,287,"00, 02, 06, 000 000, 09","00, 02, 06, 000 000, 09, 10, 10 000, 07, 000 words, 10 years, 100, 10 times, 152, 10 participants, 130","{'2025-07': 80, '2025-05': 67, '2025-10': 33, '2025-06': 31, '2025-11': 27, '2025-09': 26, '2025-08': 23}"
29,262,"00, 10 orientations, 100k, 09, 1000","00, 10 orientations, 100k, 09, 1000, 10 9_layer4_topic_drift, 10 changes, 10 12, 000 maybe, 10, 10th, 12 13, 10 10, 106651, 100 participants","{'2025-09': 59, '2025-10': 44, '2025-11': 41, '2025-12': 39, '2025-08': 21, '2025-05': 20, '2025-07': 19, '2025-06': 17, '2025-02': 2}"
50,254,"00, 01, 10 orientations, 10 minutes, 10 11","00, 01, 10 orientations, 10 minutes, 10 11, 10 20, 10 days, 09, 10 participants, 10 following, 10 months, 10, 1093457, 10 years, 100 sample","{'2025-09': 54, '2025-11': 39, '2025-08': 33, '2025-07': 32, '2025-10': 29, '2025-05': 26, '2025-12': 21, '2025-06': 18, '2025-02': 2}"
17,229,"000 000, 000 maybe, 00, 000, 01","000 000, 000 maybe, 00, 000, 01, 06, 04, 10 traits, 10 days, 100 samples, 10 months, 101, 10 changes, 106651, 000 65","{'2025-10': 95, '2025-11': 37, '2025-08': 27, '2025-09': 23, '2025-05': 16, '2025-06': 16, '2025-07': 15}"
20,201,"00, 03, 100 authors, 20 000, 08","00, 03, 100 authors, 20 000, 08, 1st, 190, 14 64, 15, 20k, 134, 000 000, 128, 000 words, 10 11","{'2025-11': 106, '2025-10': 32, '2025-07': 23, '2025-12': 21, '2025-09': 15, '2025-08': 2, '2025-05': 2}"
54,196,"00, 06, 10 15, 07, 10 10","00, 06, 10 15, 07, 10 10, 10, 10 following, 102, 106651, 10 participants, 03, 05, 1093457, 000 65, 10 orientations","{'2025-05': 51, '2025-06': 50, '2025-07': 39, '2025-09': 27, '2025-08': 19, '2025-11': 4, '2025-10': 4, '2025-12': 2}"
37,185,"00, 000 maybe, 02, 04, 000 word","00, 000 maybe, 02, 04, 000 word, 09, 106651, 118, 10 11, 128, 140, 100 sample, 10 15, 152, 15 20","{'2025-10': 44, '2025-09': 43, '2025-08': 37, '2025-11': 33, '2025-12': 11, '2025-07': 11, '2025-06': 4, '2025-05': 2}"
15,182,"00, 08, 10 following, 10 changes, 000 000","00, 08, 10 following, 10 changes, 000 000, 10 orientations, 02, 10 minutes, 10 10, 11, 100 sample, 000 words, 116, 130, 11th","{'2025-11': 53, '2025-10': 52, '2025-07': 20, '2025-08': 19, '2025-09': 18, '2025-12': 11, '2025-05': 7, '2025-06': 2}"
32,175,"000 words, 000, 00, 000 maybe, 102","000 words, 000, 00, 000 maybe, 102, 000 000, 12 15, 117, 100 sample, 106651, 101, 10 000, 100k, 116, 10 months","{'2025-10': 44, '2025-11': 31, '2025-12': 23, '2025-05': 19, '2025-07': 18, '2025-09': 14, '2025-06': 14, '2025-08': 12}"
9,169,"00, 000 000, 000 word, 07, 10 orientations","00, 000 000, 000 word, 07, 10 orientations, 10 months, 10 20, 10 times, 000, 11th, 1107146, 106651, 100 samples, 100 000, 118","{'2025-11': 58, '2025-10': 40, '2025-05': 26, '2025-12': 25, '2025-09': 11, '2025-08': 4, '2025-06': 4, '2025-07': 1}"
57,164,"000, 00, 000 word, 102, 101","000, 00, 000 word, 102, 101, 02, 10 months, 12 15, 100 sample, 10 years, 117, 106651, 10 12, 100k, 10 days","{'2025-10': 31, '2025-05': 26, '2025-11': 24, '2025-08': 21, '2025-12': 17, '2025-09': 16, '2025-06': 15, '2025-07': 13, '2025-02': 1}"
48,163,"00, 000 maybe, 02, 04, 000 word","00, 000 maybe, 02, 04, 000 word, 05, 12, 10 days, 1093457, 115 116, 1470319, 12th, 100 authors, 1784456, 10 participants","{'2025-08': 34, '2025-10': 30, '2025-09': 26, '2025-07': 22, '2025-12': 16, '2025-11': 15, '2025-06': 13, '2025-05': 7}"
34,161,"04, 000 word, 07, 00, 12 months","04, 000 word, 07, 00, 12 months, 13, 11th, 100 participants, 06, 000 000, 1281160, 128, 100 authors, 1078410, 1325355","{'2025-12': 150, '2025-11': 6, '2025-07': 2, '2025-10': 1, '2025-06': 1, '2025-05': 1}"
26,157,"00, 07, 08, 000 000, 05","00, 07, 08, 000 000, 05, 10 11, 10 10, 10 15, 10 12, 02, 10 changes, 10 days, 04, 09, 134","{'2025-08': 47, '2025-07': 36, '2025-10': 31, '2025-09': 26, '2025-11': 12, '2025-12': 3, '2025-06': 1, '2025-02': 1}"
45,147,"10 11, 00, 03, 10 changes, 10 20","10 11, 00, 03, 10 changes, 10 20, 11th, 10 12, 1078410, 160, 115, 12, 1472995, 16th, 000 000, 100 samples","{'2025-07': 53, '2025-11': 28, '2025-05': 26, '2025-12': 14, '2025-06': 9, '2025-09': 8, '2025-10': 7, '2025-08': 2}"
58,145,"00, 10 months, 10 following, 10 000, 10 15","00, 10 months, 10 following, 10 000, 10 15, 10 times, 000 maybe, 05, 02, 100 samples, 100 participants, 115, 128, 10 20, 100k","{'2025-05': 30, '2025-11': 25, '2025-08': 21, '2025-09': 18, '2025-07': 17, '2025-10': 14, '2025-06': 13, '2025-12': 6, '2023-02': 1}"
3,144,"000 65, 105748, 1042, 141, 15 20","000 65, 105748, 1042, 141, 15 20, 14th, 1000, 1470319, 1078410, 150, 1093457, 15 000, 20 year, 1417798, 16 17","{'2025-06': 54, '2025-07': 52, '2025-08': 21, '2025-05': 17}"
4,138,"00, 04, 12 hours, 11 12, 000 word","00, 04, 12 hours, 11 12, 000 word, 07, 10 years, 10 orientations, 000 000, 10 traits, 1270648, 000 words, 03, 10 months, 140","{'2025-12': 56, '2025-11': 55, '2025-10': 10, '2025-09': 5, '2025-08': 5, '2025-07': 3, '2025-06': 3, '2025-05': 1}"
35,135,"00, 115 116, 115, 106651, 132","00, 115 116, 115, 106651, 132, 1093457, 10 days, 13th, 1093691, 10 years, 04, 10 minutes, 14 15, 105748, 128","{'2025-11': 37, '2025-12': 24, '2025-05': 22, '2025-08': 13, '2025-09': 13, '2025-10': 11, '2025-07': 8, '2025-06': 4, '2023-02': 3}"
16,132,"00, 000 maybe, 14 64, 11th, 000 word","00, 000 maybe, 14 64, 11th, 000 word, 02, 141, 1093691, 10 participants, 10 11, 10 orientations, 115 116, 17 18, 1281160, 167","{'2025-09': 47, '2025-10': 24, '2025-11': 16, '2025-05': 12, '2025-06': 12, '2025-07': 9, '2025-08': 7, '2025-12': 5}"
21,131,"000 65, 14th september, 144, 105748, 1473902","000 65, 14th september, 144, 105748, 1473902, 15th, 189, 15 years, 200k, 132, 120, 2004, 20 lifts, 18, 20 000","{'2025-07': 58, '2025-06': 33, '2025-08': 22, '2025-05': 17, '2025-09': 1}"
18,130,"00, 100 participants, 000 000, 000 word, 07","00, 100 participants, 000 000, 000 word, 07, 10 12, 10 following, 10, 100 authors, 10 orientations, 10 days, 000, 09, 100 sample, 1093691","{'2025-11': 36, '2025-12': 21, '2025-10': 18, '2025-09': 13, '2025-07': 13, '2025-05': 12, '2025-08': 10, '2025-06': 7}"
6,130,"00, 07, 20 000, 18th, 10 10","00, 07, 20 000, 18th, 10 10, 11 12, 1473902, 10 11, 10 15, 155, 12, 200, 1784456, 15, 177","{'2025-09': 41, '2025-07': 28, '2025-06': 25, '2025-08': 17, '2025-10': 9, '2025-05': 5, '2025-11': 3, '2025-12': 2}"
19,129,"000, 000 words, 00, 000 maybe, 1152","000, 000 words, 00, 000 maybe, 1152, 1000, 09, 10 following, 11, 08, 115, 1093691, 118, 10 participants, 10 15","{'2025-10': 48, '2025-11': 23, '2025-08': 16, '2025-09': 13, '2025-05': 11, '2025-07': 10, '2025-06': 6, '2025-12': 2}"
40,124,"000 word, 06, 10 10, 00, 10 20","000 word, 06, 10 10, 00, 10 20, 10 12, 01, 000 000, 08, 10 times, 10 000, 10 minutes, 04, 101, 10 15","{'2025-11': 58, '2025-12': 55, '2025-07': 6, '2025-05': 2, '2025-10': 1, '2025-08': 1, '2025-06': 1}"
55,121,"00, 05, 10 months, 10 years, 10 9_layer4_topic_drift","00, 05, 10 months, 10 years, 10 9_layer4_topic_drift, 10 days, 000 words, 000 maybe, 02, 118, 06, 03, 10 orientations, 10 12, 1000","{'2025-08': 29, '2025-07': 26, '2025-06': 21, '2025-05': 19, '2025-09': 12, '2025-10': 10, '2025-11': 3, '2025-12': 1}"
30,121,"00, 11, 1093691, 101, 100 authors","00, 11, 1093691, 101, 100 authors, 10 months, 10 years, 1000, 1107146, 106651, 100, 1270648, 100 000, 175, 10 10","{'2025-09': 57, '2025-10': 17, '2025-06': 17, '2025-08': 14, '2025-05': 8, '2025-07': 7, '2025-11': 1}"
41,115,"000 65, 1417798, 1470319, 141, 102","000 65, 1417798, 1470319, 141, 102, 1st, 1472995, 153, 237, 191, 09, 20k, 24 hours, 21st, 14th","{'2025-06': 36, '2025-08': 35, '2025-05': 22, '2025-07': 22}"
46,111,"00, 000 maybe, 130, 14, 176","00, 000 maybe, 130, 14, 176, 199, 02, 04, 177, 117, 18th, 115 116, 12th, 20 month, 000 word","{'2025-10': 35, '2025-09': 23, '2025-07': 18, '2025-08': 14, '2025-11': 9, '2025-12': 5, '2025-05': 4, '2025-06': 3}"
53,107,"000 65, 1862467, 18 20, 18th, 14th september","000 65, 1862467, 18 20, 18th, 14th september, 17, 105748, 15th, 175, 1st, 176, 1784456, 170, 120, 237","{'2025-06': 44, '2025-07': 36, '2025-05': 17, '2025-08': 9, '2025-12': 1}"
51,103,"000 word, 000 000, 05, 00, 10 11","000 word, 000 000, 05, 00, 10 11, 102, 10 traits, 06, 106651, 1000, 10 000, 10 9_layer4_topic_drift, 10 following, 1042, 100","{'2025-11': 35, '2025-12': 28, '2025-10': 14, '2025-09': 11, '2025-08': 7, '2025-05': 4, '2025-07': 2, '2025-06': 2}"
42,102,"00, 10 minutes, 10 days, 100 000, 10 15","00, 10 minutes, 10 days, 100 000, 10 15, 10, 1042, 140, 1000, 10 months, 15, 100k, 177, 10 changes, 12 hours","{'2025-05': 55, '2025-06': 10, '2025-10': 9, '2025-07': 9, '2025-11': 8, '2025-08': 6, '2025-12': 3, '2025-09': 1, '2023-02': 1}"
49,102,"00, 13, 1093457, 12 topics, 102","00, 13, 1093457, 12 topics, 102, 134, 000 000, 17, 120, 10 days, 100 000, 14 64, 10th, 1000, 10 participants","{'2025-11': 66, '2025-10': 25, '2025-12': 7, '2025-05': 2, '2025-08': 1, '2025-06': 1}"
27,101,"00, 167, 1093691, 12th, 18","00, 167, 1093691, 12th, 18, 01, 140, 15 16, 11, 10 11, 16 17, 07, 1470319, 11 12, 19th","{'2025-09': 33, '2025-05': 14, '2025-07': 14, '2025-08': 14, '2025-06': 12, '2025-11': 6, '2025-10': 5, '2025-12': 3}"
10,101,"00, 1078410, 12 15, 120, 000 000","00, 1078410, 12 15, 120, 000 000, 12 months, 12, 115 116, 1152, 10 following, 1325355, 10 12, 06, 132, 130","{'2025-07': 26, '2025-11': 18, '2025-05': 18, '2025-10': 12, '2025-06': 9, '2025-09': 9, '2025-08': 8, '2025-12': 1}"
24,98,"10 participants, 00, 07, 10 traits, 000 000","10 participants, 00, 07, 10 traits, 000 000, 10 years, 10 000, 10 10, 10 12, 000, 100 000, 10 15, 10 9_layer4_topic_drift, 09, 1042","{'2025-11': 36, '2025-10': 22, '2025-05': 10, '2025-09': 7, '2025-07': 7, '2025-12': 6, '2025-08': 6, '2025-06': 4}"
33,96,"00, 10 participants, 10 days, 106651, 03","00, 10 participants, 10 days, 106651, 03, 10 years, 10 times, 110, 100 participants, 117, 000 word, 08, 10 15, 000 000, 1281160","{'2025-11': 52, '2025-12': 34, '2025-10': 10}"
12,93,"10 changes, 10 participants, 000 word, 00, 152","10 changes, 10 participants, 000 word, 00, 152, 04, 102, 196, 01, 07, 10 9_layer4_topic_drift, 167, 110, 14th september, 15th","{'2025-11': 51, '2025-12': 36, '2025-08': 3, '2025-09': 2, '2025-10': 1}"
13,93,"1093457, 00, 05, 000 000, 100k","1093457, 00, 05, 000 000, 100k, 000 word, 101, 117, 10 11, 116, 120, 10 9_layer4_topic_drift, 000, 10 following, 10 days","{'2025-05': 21, '2025-10': 19, '2025-09': 15, '2025-08': 13, '2025-11': 10, '2025-06': 6, '2025-07': 5, '2025-12': 4}"
25,93,"129, 000 word, 00, 150, 190","129, 000 word, 00, 150, 190, 18th, 12 13, 132, 100 sample, 1784456, 16, 176, 134, 06, 10 changes","{'2025-12': 39, '2025-11': 23, '2025-06': 9, '2025-08': 7, '2025-05': 7, '2025-07': 4, '2025-09': 3, '2025-10': 1}"
59,91,"00, 000 000, 110, 12, 100 sample","00, 000 000, 110, 12, 100 sample, 1152, 11th, 120, 128, 10th, 10 times, 134, 000, 115, 10 20","{'2025-10': 30, '2025-05': 16, '2025-11': 15, '2025-07': 11, '2025-08': 9, '2025-09': 4, '2025-06': 4, '2025-12': 2}"
11,89,"07, 04, 000 word, 117, 00","07, 04, 000 word, 117, 00, 12 topics, 115, 150, 106651, 12 month, 1042, 10 9_layer4_topic_drift, 12, 177, 000 000","{'2025-12': 81, '2025-11': 8}"
52,87,"00, 10 minutes, 10 years, 000 000, 100 participants","00, 10 minutes, 10 years, 000 000, 100 participants, 100 authors, 10 times, 10 changes, 1152, 1107146, 12 15, 100 samples, 000 word, 10 traits, 10 20","{'2025-10': 52, '2025-11': 16, '2025-12': 6, '2025-07': 5, '2025-09': 3, '2025-05': 3, '2025-08': 2}"
5,87,"000 65, 15 20, 14th, 102, 20 30","000 65, 15 20, 14th, 102, 20 30, 150, 19th, 180, 2001, 190, 12th, 140, 2026, 130, 00","{'2025-06': 42, '2025-07': 26, '2025-05': 13, '2025-08': 6}"
0,83,"000, 10 000, 100 000, 100, 00","000, 10 000, 100 000, 100, 00, 10 10, 10 minutes, 10 11, 100 participants, 1042, 1152, 000 000, 1093691, 12 month, 12","{'2025-10': 25, '2025-08': 20, '2025-09': 10, '2025-11': 9, '2025-07': 8, '2025-06': 5, '2025-12': 3, '2025-05': 3}"
47,82,"00, 000 000, 115 116, 10 minutes, 10th","00, 000 000, 115 116, 10 minutes, 10th, 100 participants, 05, 110, 000 word, 10 changes, 1078410, 11, 11th, 101, 09","{'2025-11': 35, '2025-10': 28, '2025-12': 6, '2025-05': 4, '2025-06': 3, '2025-09': 3, '2025-08': 2, '2025-07': 1}"
28,76,"10, 08, 00, 10 000, 000 maybe","10, 08, 00, 10 000, 000 maybe, 05, 000 word, 07, 04, 100 authors, 02, 128, 10 years, 12 month, 1093691","{'2025-11': 19, '2025-09': 14, '2025-10': 14, '2025-12': 12, '2025-07': 8, '2025-08': 4, '2025-05': 3, '2025-06': 2}"
14,76,"03, 09, 05, 000 maybe, 000 000","03, 09, 05, 000 maybe, 000 000, 000, 08, 01, 00, 10 10, 10 000, 10, 10 15, 07, 1078410","{'2025-10': 31, '2025-07': 13, '2025-06': 10, '2025-08': 9, '2025-11': 7, '2025-05': 5, '2025-12': 1}"
7,75,"00, 14th, 14, 1473902, 15 years","00, 14th, 14, 1473902, 15 years, 15 000, 159, 17 18, 144, 1472995, 11 12, 12th, 1st, 10 minutes, 17","{'2025-12': 17, '2025-11': 14, '2025-05': 11, '2025-08': 9, '2025-09': 8, '2025-10': 7, '2025-07': 5, '2025-06': 4}"
36,74,"165, 00, 12 topics, 132, 116","165, 00, 12 topics, 132, 116, 000 word, 19, 1107146, 175, 15 years, 159, 110, 000, 20 year, 102","{'2025-11': 22, '2025-12': 16, '2025-07': 11, '2025-05': 10, '2025-08': 6, '2025-06': 5, '2025-10': 3, '2025-09': 1}"
38,68,"00, 12, 12 13, 13, 1270648","00, 12, 12 13, 13, 1270648, 000 000, 101, 118, 132, 10th, 10 following, 100 authors, 100 sample, 117, 1152","{'2025-11': 15, '2025-08': 13, '2025-07': 12, '2025-10': 9, '2025-05': 7, '2025-06': 6, '2025-12': 3, '2025-09': 3}"
22,66,"01, 02, 000 word, 000 000, 05","01, 02, 000 word, 000 000, 05, 000 words, 00, 10 11, 10 orientations, 100 participants, 12 13, 12 months, 18 20, 106651, 12 hours","{'2025-12': 45, '2025-11': 21}"
23,61,"00, 150, 18, 160, 15 years","00, 150, 18, 160, 15 years, 14 15, 180, 04, 05, 20 25, 1862467, 000 000, 10 11, 10 15, 196","{'2025-08': 21, '2025-09': 12, '2025-10': 9, '2025-05': 9, '2025-06': 5, '2025-07': 3, '2025-11': 2}"
56,54,"13th, 00, 12th, 110, 1078410","13th, 00, 12th, 110, 1078410, 15 years, 14th september, 12 13, 15 20, 1473902, 000 000, 128, 141, 134, 17th","{'2025-11': 22, '2025-05': 17, '2025-10': 5, '2025-07': 5, '2025-12': 3, '2025-09': 1, '2025-08': 1}"
39,49,"10 traits, 100, 10 12, 00, 10 minutes","10 traits, 100, 10 12, 00, 10 minutes, 10 9_layer4_topic_drift, 11, 11 12, 03, 10 times, 10 following, 12 topics, 10 000, 10 changes, 1107146","{'2025-09': 19, '2025-10': 11, '2025-11': 7, '2025-05': 6, '2025-12': 2, '2025-08': 2, '2025-06': 1, '2025-07': 1}"
43,38,"10 9_layer4_topic_drift, 10 12, 10 11, 10 minutes, 03","10 9_layer4_topic_drift, 10 12, 10 11, 10 minutes, 03, 100 authors, 000 000, 100 000, 000 maybe, 12 topics, 10 participants, 000, 144, 10 following, 11 12","{'2025-10': 22, '2025-08': 4, '2025-12': 3, '2025-06': 3, '2025-05': 3, '2025-11': 2, '2025-09': 1}"
